user_id,class
1,2
2,2
3,0
4,4
5,3
6,1
7,0
8,3
9,0
10,0
11,0
12,3
13,4
14,0
15,1
16,1
17,0
18,0
19,2
20,4
21,0
22,4
23,1
24,1
25,4
26,2
27,0
28,3
29,1
30,1
31,4
32,1
33,4
34,2
35,4
36,1
37,0
38,0
39,4
40,1
41,2
42,3
43,2
44,0
45,0
46,1
47,1
48,0
49,3
50,1
51,1
52,0
53,3
54,1
55,3
56,0
57,2
58,4
59,0
60,1
61,4
62,1
63,0
64,1
65,4
66,0
67,2
68,2
69,0
70,2
71,4
72,1
73,0
74,4
75,0
76,1
77,1
78,2
79,1
80,3
81,1
82,3
83,3
84,1
85,3
86,5
87,4
88,1
89,4
90,2
91,2
92,1
93,1
94,4
95,2
96,1
97,1
98,2
99,4
100,3
101,3
102,0
103,1
104,0
105,2
106,1
107,0
108,5
109,4
110,0
111,1
112,2
113,1
114,2
115,1
116,4
117,1
118,1
119,1
120,4
121,1
122,0
123,0
124,1
125,2
126,0
127,3
128,1
129,2
130,0
131,0
132,4
133,4
134,2
135,1
136,4
137,2
138,0
139,0
140,0
141,0
142,0
143,3
144,2
145,1
146,4
147,1
148,4
149,0
150,4
151,1
152,1
153,1
154,2
155,1
156,4
157,1
158,4
159,4
160,0
161,0
162,4
163,1
164,3
165,4
166,0
167,3
168,1
169,3
170,0
171,1
172,0
173,1
174,0
175,2
176,4
177,2
178,1
179,4
180,2
181,1
182,3
183,2
184,3
185,0
186,1
187,4
188,4
189,1
190,4
191,1
192,0
193,2
194,3
